date,active_cases,daily_deaths
2020-03-21,1.0,0
2020-03-22,3.0,0
2020-03-23,4.0,0
2020-03-24,5.0,0
2020-03-25,5.0,0
2020-03-26,9.0,0
2020-03-27,11.0,0
2020-03-28,13.0,0
2020-03-29,16.0,0
2020-03-30,18.0,0
2020-03-31,20.0,0
2020-04-01,22.0,0
2020-04-02,29.0,0
2020-04-03,31.0,0
2020-04-04,30.0,0
2020-04-05,33.0,0
2020-04-06,34.0,0
2020-04-07,35.0,1
2020-04-08,36.0,1
2020-04-09,37.0,0
2020-04-10,37.0,0
2020-04-11,36.0,0
2020-04-12,37.0,0
2020-04-13,39.0,0
2020-04-14,37.0,0
2020-04-15,40.0,0
2020-04-16,38.0,0
2020-04-17,37.0,0
2020-04-18,39.0,1
2020-04-19,35.0,0
2020-04-20,33.0,0
2020-04-21,31.0,0
2020-04-22,30.0,0
2020-04-23,25.0,0
2020-04-24,26.0,0
2020-04-25,28.0,0
2020-04-26,25.0,0
2020-04-27,20.0,0
2020-04-28,20.0,0
2020-04-29,15.0,0
2020-04-30,10.0,0
2020-05-01,9.0,0
2020-05-02,7.0,0
2020-05-03,6.0,0
2020-05-04,6.0,0
2020-05-05,7.0,0
2020-05-06,9.0,0
2020-05-07,7.0,0
2020-05-08,6.0,0
2020-05-09,5.0,0
2020-05-10,4.0,0
2020-05-11,8.0,0
2020-05-12,9.0,1
2020-05-13,10.0,0
2020-05-14,15.0,0
2020-05-15,23.0,0
2020-05-16,36.0,0
2020-05-17,38.0,0
2020-05-18,46.0,0
2020-05-19,50.0,0
2020-05-20,59.0,0
2020-05-21,65.0,0
2020-05-22,63.0,0
2020-05-23,69.0,1
2020-05-24,71.0,0
2020-05-25,68.0,0
2020-05-26,73.0,0
2020-05-27,76.0,1
2020-05-28,74.0,1
2020-05-29,65.0,0
2020-05-30,55.0,0
2020-05-31,63.0,0
2020-06-01,68.0,0
2020-06-02,63.0,0
2020-06-03,55.0,0
2020-06-04,55.0,0
2020-06-05,56.0,1
2020-06-06,49.0,0
2020-06-07,49.0,0
2020-06-08,62.0,0
2020-06-09,62.0,0
2020-06-10,59.0,0
2020-06-11,56.0,0
2020-06-12,71.0,0
2020-06-13,78.0,0
2020-06-14,75.0,0
2020-06-15,75.0,0
2020-06-16,78.0,1
2020-06-17,82.0,0
2020-06-18,78.0,0
2020-06-19,77.0,0
2020-06-20,76.0,0
2020-06-21,74.0,0
2020-06-22,87.0,0
2020-06-23,102.0,0
2020-06-24,107.0,0
2020-06-25,147.0,0
2020-06-26,143.0,0
2020-06-27,157.0,0
2020-06-28,166.0,0
2020-06-29,161.0,0
2020-06-30,196.0,0
2020-07-01,220.0,0
2020-07-02,236.0,0
2020-07-03,255.0,0
2020-07-04,302.0,0
2020-07-05,308.0,0
2020-07-06,289.0,0
2020-07-07,294.0,1
2020-07-08,297.0,0
2020-07-09,274.0,0
2020-07-10,321.0,0
2020-07-11,319.0,3
2020-07-12,318.0,0
2020-07-13,326.0,0
2020-07-14,317.0,1
2020-07-15,310.0,1
2020-07-16,364.0,1
2020-07-17,387.0,1
2020-07-18,362.0,0
2020-07-19,369.0,1
2020-07-20,465.0,0
2020-07-21,488.0,1
2020-07-22,502.0,1
2020-07-23,495.0,0
2020-07-24,508.0,3
2020-07-25,539.0,0
2020-07-26,548.0,1
2020-07-27,530.0,0
2020-07-28,514.0,1
2020-07-29,516.0,1
2020-07-30,513.0,2
2020-07-31,501.0,4
2020-08-01,517.0,0
2020-08-02,527.0,0
2020-08-03,436.0,0
2020-08-04,419.0,1
2020-08-05,420.0,2
2020-08-06,444.0,2
2020-08-07,398.0,3
2020-08-08,385.0,1
2020-08-09,378.0,0
2020-08-10,406.0,1
2020-08-11,405.0,0
2020-08-12,400.0,2
2020-08-13,350.0,1
2020-08-14,352.0,1
2020-08-15,354.0,0
2020-08-16,337.0,0
2020-08-17,326.0,0
2020-08-18,310.0,2
2020-08-19,306.0,3
2020-08-20,286.0,5
2020-08-21,278.0,0
2020-08-22,253.0,0
2020-08-23,249.0,0
2020-08-24,241.0,1
2020-08-25,243.0,0
2020-08-26,242.0,2
2020-08-27,225.0,0
2020-08-28,203.0,1
2020-08-29,171.0,0
2020-08-30,166.0,0
2020-08-31,171.0,1
2020-09-01,173.0,1
2020-09-02,164.0,2
2020-09-03,170.0,0
2020-09-04,178.0,0
2020-09-05,172.0,2
2020-09-06,165.0,1
2020-09-07,148.0,0
2020-09-08,136.0,0
2020-09-09,122.0,1
2020-09-10,126.0,2
2020-09-11,130.0,0
2020-09-12,139.0,0
2020-09-13,140.0,1
2020-09-14,137.0,0
2020-09-15,121.0,0
2020-09-16,129.0,0
2020-09-17,118.0,0
2020-09-18,101.0,0
2020-09-19,103.0,0
2020-09-20,102.0,0
2020-09-21,103.0,0
2020-09-22,106.0,0
2020-09-23,111.0,1
2020-09-24,129.0,0
2020-09-25,134.0,0
2020-09-26,138.0,5
2020-09-27,136.0,0
2020-09-28,133.0,0
2020-09-29,135.0,2
